,Sample0,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16,Sample17,Sample18,Sample19,Sample20,Sample21,Sample22,Sample23,Sample24,Sample25,Sample26,Sample27,Sample28,Sample29,Sample30,Sample31,Sample32,Sample33,Sample34,Sample35,Sample36,Sample37,Sample38,Sample39,Sample40,Sample41,Sample42,Sample43,Sample44,Sample45,Sample46,Sample47,Sample48,Sample49,Sample50,Sample51,Sample52,Sample53,Sample54,Sample55,Sample56,Sample57,Sample58,Sample59,Sample60,Sample61,Sample62,Sample63,Sample64,Sample65,Sample66,Sample67,Sample68,Sample69,Sample70,Sample71,Sample72,Sample73,Sample74,Sample75,Sample76,Sample77,Sample78,Sample79,Sample80,Sample81,Sample82,Sample83,Sample84,Sample85,Sample86,Sample87,Sample88,Sample89,Sample90,Sample91,Sample92,Sample93,Sample94,Sample95,Sample96,Sample97,Sample98,Sample99,Sample100,Sample101,Sample102,Sample103,Sample104,Sample105,Sample106,Sample107,Sample108
Gene0,-0.327122,-0.529662,-0.133518,0.1738082,0.8644419,-0.319992,0.7643228,-0.088284,0.0517690,-0.695288,-1.456661,0.7001939,-1.365186,0.2113148,-1.694785,-0.418239,1.4145834,-0.323616,2.3071052,2.0807272,1.0590844,0.1341094,0.3044758,0.2122100,-0.284560,0.3896396,-0.792016,2.0686562,1.2308687,1.0363322,2.3013669,0.8699622,-0.704987,0.4330767,-0.100305,1.8803406,1.5903017,0.6045543,0.3564571,-0.247381,0.7087575,0.0849432,1.1458102,1.4175169,0.8521118,-1.589055,1.2034700,0.1926830,-1.664646,-1.323512,0.1879443,0.3516610,-0.749581,1.2408009,-1.442595,-0.115169,0.1310003,-1.178045,-2.175791,0.5569892,-0.523395,0.5114830,-0.963002,-1.732863,-1.665233,-0.467519,-1.257140,-0.717731,2.0565272,-0.792756,-0.593824,1.2140351,3.4645029,-0.863817,0.4591816,1.9367733,0.3227101,-1.659851,-0.450871,-2.630492,-0.015939,-0.625082,0.3486137,0.2610201,0.8141747,-1.487300,-1.475778,-0.798230,0.1853464,-0.534140,-0.407148,-1.647199,-0.027609,-0.122108,-0.797290,-1.252165,-0.146436,2.6570546,1.2403492,1.2455186,0.6792511,-0.928028,-0.456322,-2.187164,0.0335425,0.0432914,-1.245207,-0.708235,0.3131291
Gene1,-0.364960,0.4624142,-0.177251,0.0947840,-0.976154,-1.522357,0.1888671,-0.457293,-1.030102,-1.282530,-0.237635,-1.527481,0.6065687,0.4745131,0.9605836,0.6468842,1.3754882,0.4586607,-0.024973,-0.891871,0.4956162,-1.453318,0.0142441,-0.372890,0.8206485,-0.944612,-0.559862,-0.648366,0.5230422,0.1472925,0.8140593,-0.248736,-0.891976,0.3365635,0.6166101,0.5467851,-1.033065,-2.070935,-0.909551,0.1795998,-0.495321,0.2932443,1.9633046,-1.059946,-1.014791,2.2163523,-0.173806,0.4372739,0.2556703,0.5510287,1.2931592,0.1912501,-0.169572,1.2177460,0.5366196,-0.088621,0.4996597,0.3865325,-0.536281,-1.386503,-0.040605,-0.584151,1.2600273,-1.070422,-0.206182,-0.877063,0.9982461,0.0113849,0.0808526,1.0463402,0.6592406,-0.090816,0.9874480,0.0854537,-0.225463,-0.306580,0.4580599,0.6994671,0.0110676,-0.350064,-0.649264,0.0199402,-1.003178,-0.381809,-0.124462,-0.611032,-0.613989,-0.072682,-0.217968,0.6337113,0.6814576,0.5144158,-0.081563,-0.812373,0.7322388,1.1855297,0.1422132,-0.446815,-0.261118,1.0464691,-0.501364,0.5656682,-0.159529,2.8346511,0.1558373,-0.016520,-0.849505,0.1681420,-1.477626
Gene2,-1.295450,-0.662752,-1.506087,-0.297733,2.4057414,0.7730612,-0.699298,-0.542056,0.2347146,-0.131638,0.6628721,0.4311121,-0.608947,1.7686256,-0.030234,-0.039540,0.0731140,0.6176700,3.2496467,1.3010682,1.7210905,-0.622221,0.0973126,0.2104669,0.6569041,0.2443572,-0.512158,1.5111015,1.8814781,0.6502622,0.0845201,0.3086644,-0.932166,0.7475545,1.2107234,0.0908024,-0.663089,0.2934445,0.7107646,-0.219864,0.2575377,-0.702910,2.0667711,0.3518996,1.3615163,-0.295203,0.2361594,-1.541407,0.5729802,0.9360043,-1.111619,-0.008563,-0.176251,0.5224948,1.1109323,-0.523425,-0.284182,-2.149578,-0.278091,0.5680145,0.1228435,-0.053035,0.9867865,0.0220489,1.1689978,-0.832964,-1.514436,-1.641723,1.0259654,1.7915066,0.1536626,-1.187634,-2.694235,-0.732066,1.3536987,1.1530446,-2.452820,-0.148480,-1.788170,-1.077280,0.1792334,-1.722924,-0.527920,-1.386602,1.7108736,-0.119153,-0.075040,-0.230128,-0.928422,0.2905062,1.5083328,0.6270202,0.7467207,-0.063334,-0.629341,-1.924175,0.2561162,0.0911945,-3.099584,1.8762842,-0.238328,-0.320046,-0.808832,-1.103484,0.0061087,-1.100196,-0.175281,-0.668313,0.0861020
Gene3,-0.521023,-0.303845,-0.899293,-0.160095,0.2393133,-0.287600,-1.108988,-0.217628,0.3646401,-0.382726,-0.331078,0.6854802,-0.958310,0.8720693,0.9718635,-1.328272,0.3939637,0.1558747,2.0803073,0.8062029,1.3346373,-0.274349,0.8483393,0.3949367,-0.330269,1.7266595,-0.832970,2.1815905,0.3947636,0.8017615,0.7098184,0.7912923,-0.402478,0.6246366,0.6622322,-0.054995,1.1268213,-0.945396,0.0694479,-0.640123,1.0794007,-0.251851,1.6780211,2.1237728,-0.145377,-0.068211,2.2380984,-0.550983,-0.376586,-0.251985,-1.050031,1.6678284,0.3406323,-1.051964,0.6553393,-1.293892,-0.707428,-2.430613,-0.512970,0.6975509,-0.055789,-0.085061,0.8282228,-1.072399,-0.202257,0.2213211,-0.306408,-1.833917,1.7062685,0.7712597,1.1451707,-1.192103,-0.521705,-0.619715,0.8135646,0.3968488,-0.271512,-1.247881,-1.325438,-0.477131,-0.313052,-1.091866,-0.457373,-0.550365,2.2232088,0.0337799,-0.616307,-0.237932,0.3971084,-0.220173,0.9436298,0.3094312,-0.362644,0.1605699,0.1086036,-0.980597,-0.245326,-1.062576,-1.290218,2.0084829,-0.579034,-0.121653,-0.378895,-0.690489,-0.202112,-1.418248,-1.068798,-1.426286,0.4118529
Gene4,-0.072611,-0.840055,-0.413116,-1.014781,2.0723633,0.4091498,-0.260976,0.2532229,-1.115592,0.1912903,-0.224272,0.9834097,-0.242704,0.6960734,1.1939254,0.1952959,-0.704318,1.4532940,0.9209398,-0.827031,0.6560615,0.1656073,-0.579323,0.3550877,-1.797506,-0.148785,0.0362594,0.9299005,0.5847169,0.6769736,-0.239969,1.0580039,-0.558357,-0.498634,1.3983989,-1.078064,1.0105895,1.1934310,0.8028885,-0.559290,0.7311564,-1.383805,-0.048290,-0.719228,0.5232088,0.0251885,1.2429486,-0.493779,-0.729572,-0.489934,-1.086343,-0.339410,0.6800232,0.1563767,0.4278969,-1.304122,-0.996117,-2.316904,0.1188605,1.2918545,0.5307444,-0.796413,-0.058744,-0.187108,2.0120654,-1.744394,-0.045623,0.7693286,0.3047284,2.2313327,0.4184483,0.4472429,-0.973545,-0.598114,1.5482350,1.2645754,-0.922038,-0.324401,-0.147886,-0.473846,0.0380143,-0.623841,-0.912992,-0.296849,1.7235043,-0.877798,0.6987177,-0.184998,-0.779538,1.0792871,1.8103162,1.5133312,-1.344435,0.1062059,0.0404693,0.6791977,-0.842436,-2.196398,-1.391667,-0.330243,-2.252186,0.6188005,0.5593081,1.0060014,0.8268349,-1.165049,-0.177859,-1.442595,-0.487178
Gene5,0.4118031,1.6070400,-0.568566,0.4560479,-2.850425,-2.010144,0.1311569,-0.348934,0.5206591,-0.846494,0.3348150,0.4751692,0.1606332,1.0921273,2.0304240,1.1592405,0.6355383,1.3197464,-2.322304,-1.315843,-0.951743,-1.615267,0.0720918,-0.369979,-0.839470,-1.096359,-0.227204,-1.212470,-1.096943,-0.363353,-1.336449,-1.080071,1.0492698,-0.504105,0.7024526,-1.139027,0.3661370,-1.081879,-0.402037,-0.139196,-1.349870,-1.136672,-0.373895,-2.086599,-0.644401,3.1308304,-0.212310,0.1858580,1.1254567,0.1182023,0.4426442,-0.917838,1.4262816,-1.009355,1.1511994,-0.997718,0.4346031,0.4410464,0.8279892,-0.256454,-0.542497,-0.663925,1.8696489,-0.796543,1.1475957,1.1399990,3.1431567,0.6764300,-1.107584,0.8467996,0.8932330,-0.155008,-0.909936,-0.405762,0.0872287,-0.802914,-1.090247,-0.115761,-0.196579,2.1660477,0.8676738,0.4100824,0.4325736,0.0078149,-0.515497,1.4851479,1.3726132,0.9889293,-0.950477,0.2228901,-0.558509,-0.158146,-0.203024,1.2093735,0.9513384,0.6443402,0.3353596,-0.441866,-2.433628,-0.897544,-1.343731,-0.334567,1.5275109,2.2088736,0.5180932,-1.511225,1.5796206,0.4306700,-0.133140
Gene6,-0.698553,1.0936366,0.4916027,0.9520647,-0.283919,0.0234578,-0.185606,0.1756817,0.9573100,-0.062422,-0.851114,1.0624590,0.1352807,-1.513135,1.5528770,-1.554819,-0.802817,0.4405033,-0.534336,0.3330552,1.1558830,-0.134822,0.4120355,-0.255059,-0.369931,-0.504185,0.2208259,0.2997436,-0.053405,0.6097444,0.1859919,1.3554436,-0.161018,-0.515799,0.3374917,-0.472374,2.2964531,-1.713058,-0.167294,0.1011112,-0.974510,-0.014178,0.6252574,-1.210338,-0.556400,-0.461814,-1.176914,0.1323546,-1.025693,0.0517269,-0.470863,-0.156441,-0.077088,-0.038955,1.6574772,-0.707786,0.3104454,-0.136901,0.0815402,-0.344060,-1.056094,-0.227618,0.1814493,-1.116128,1.0974349,-0.083052,-0.433650,-0.194269,-0.975626,-0.137175,1.3813177,-0.017528,1.5780009,-0.460015,0.3215785,-0.891406,0.3436863,-0.234431,0.4536511,-0.761702,-0.167267,0.4794840,0.9256835,-0.176180,-0.651006,1.8711825,-0.029508,1.1666399,0.1643151,-0.748952,-0.586012,1.0970951,-0.420277,-0.061071,0.2609641,0.2478563,-0.925471,0.5435025,-0.463634,0.0914074,0.2948174,-0.157763,-0.012252,0.2524747,0.4311612,-0.248134,-0.509821,-0.209313,-0.094166
Gene7,0.4875290,-1.223880,0.9539340,-1.040971,1.2266577,1.9281135,0.2855866,-0.039257,-1.554615,-0.160999,-1.552837,0.3321887,-1.963771,-0.328162,-0.660760,-0.518552,-0.514174,0.6062412,0.7179787,-0.798128,0.8382430,-1.256813,-0.554607,-0.391569,-2.366582,0.5765079,-0.138046,1.3092779,1.9771841,0.1218470,2.4664609,2.4882100,0.1677559,1.1175756,0.3147419,1.5019085,0.7973304,2.0712130,-0.681097,-1.153437,0.9974031,0.1852679,-0.085979,-0.592416,0.4293634,-2.148390,1.2148259,-0.003120,-0.893875,-0.993819,1.0255471,-0.228513,-0.201938,4.1518137,-2.074962,-1.157633,-1.533395,-0.668567,-0.299126,1.8878883,1.2734221,-0.654796,-2.055589,0.7352378,-0.038275,-1.910510,-1.339778,-0.646671,1.0664867,0.1731082,-1.056492,0.8882286,0.5285161,1.0490593,0.2826878,2.3222776,-0.098236,-0.627584,0.5864121,-0.070636,0.5880912,-0.594078,-0.477192,0.8757742,1.7107551,-1.904792,-0.189508,-1.100066,0.1816508,-1.488066,1.2390501,-0.127491,0.2056160,-0.394183,-2.211732,-1.814772,-0.626944,-0.818414,-0.076609,0.9756316,0.0231707,0.2578653,0.3174334,-1.053914,0.5685871,0.0193775,1.0494488,-1.185922,1.2457852
Gene8,-0.159027,-1.650990,-0.906308,-1.072391,3.3502716,2.6540217,-0.804752,-0.224598,-0.394817,1.4040215,-0.262233,0.3789437,-0.257350,0.8501941,-0.906403,-0.696637,-0.270870,0.5476178,1.2860664,-0.023797,-0.010045,0.7244010,-0.990442,0.7013616,-0.564574,0.8934766,0.0562212,1.1882910,1.4519263,0.7217409,0.1743124,1.2586294,-0.447281,0.9677775,0.5438962,1.1824811,0.8235430,1.4879637,0.1708426,-0.272630,0.2839093,0.5735804,-0.200109,1.0867725,1.5537342,-1.158568,0.3539217,-0.105351,-0.809358,0.2568664,-1.134988,0.2541341,1.0214803,1.3616323,-0.866925,-1.032772,-0.826596,-2.184585,-1.410052,1.1871402,2.1917064,-0.796348,-1.134710,0.3906165,-0.275073,-0.249503,-0.794955,-1.220519,1.5104815,0.6119699,-2.276425,0.2853093,-0.243020,-0.519103,0.8884394,0.4994131,-0.950342,-1.208501,-0.224706,-0.540037,0.0430062,-0.586668,-0.683930,-0.475138,2.1757438,0.2225737,-0.389068,-0.883344,-1.270358,-0.973905,1.8159121,0.5792026,-0.429836,-0.384590,-0.750422,-0.159829,-1.293605,-0.114711,-0.980742,-0.103362,-0.404112,0.4123963,0.4688044,-1.314849,-0.557659,-0.301550,-1.564856,-0.453886,1.3073942
Gene9,1.4171762,0.2436668,0.2805646,1.4681596,-0.137545,0.7742761,0.7896407,0.2755640,-0.772507,-0.433489,-1.147398,0.0195686,-0.109971,0.1313125,-0.488825,-1.089849,-0.602948,-0.887777,-1.082924,-0.606122,-0.157614,0.7652787,0.0839249,-0.060353,1.0914574,0.3606532,-0.277857,-0.349467,0.4040960,-1.815554,-2.125361,-1.286410,-0.000988,-1.377523,-0.266324,-0.277175,-1.043341,-0.744572,0.4674923,0.5112889,-1.397504,-0.537764,-0.240835,-1.509899,1.4974074,0.0164385,-0.825298,-0.315103,0.2293790,0.0325123,0.0084938,-0.993576,-1.506809,-0.632510,0.1465074,0.9770775,0.6557109,0.7365309,0.2201268,-1.302332,1.6471420,-0.546302,0.9254692,0.8885306,0.0164496,-0.062873,-0.635615,0.6840538,-1.337249,0.2630734,1.0977117,0.9355480,1.0083949,0.5920976,0.7167375,-0.985575,0.0437007,0.4013484,0.9408676,0.1393314,-0.092821,-0.433420,0.6678395,0.5295791,-0.828288,0.1139455,-0.211867,0.5475874,-0.221324,-0.151788,-0.438210,-0.221568,-0.888273,-0.458335,0.4513143,0.5000424,0.0031647,0.3687121,1.5500874,-0.538903,-0.850742,0.9490383,0.8062425,1.1387422,-0.774324,1.6110003,1.7117963,0.7900364,0.4371344
Gene10,-0.818987,-0.558816,0.5511775,-0.696811,1.9720281,0.9695993,-1.079283,-0.781470,-0.196376,1.1896034,-0.695292,-0.057522,-0.080619,0.5819224,-0.533323,-1.095684,-0.572449,-0.272992,1.2286140,0.6516485,1.4257032,0.9897656,0.4026526,-0.960129,-0.117181,-0.187900,-1.618738,1.6151595,0.6093397,0.7581911,1.3294374,1.3076412,-0.229472,1.4120196,-0.426363,0.2405752,1.0143758,0.8750271,-0.424053,-0.922707,0.1227831,0.1114729,0.9805656,0.6013528,-0.286005,-0.985701,0.3443110,-1.087512,-0.777087,-0.064422,0.1423529,-0.201575,-0.906496,2.6500886,0.1115927,-0.062340,-0.671550,-0.489992,-0.547509,0.1551216,0.4629898,-0.071025,-0.510419,0.1195385,0.6548520,-1.289190,0.2328332,-0.809206,2.8153856,-0.801949,0.1413524,0.2793841,0.4518790,-0.089932,0.0669747,1.0322101,-0.796731,0.1609002,0.0288805,-0.332653,-0.568265,-1.286157,-1.191962,-0.550539,0.3358890,-0.311092,0.4394445,-0.177495,-0.616471,-0.342745,0.3557698,0.0742406,0.8373904,-0.567723,0.1093995,-0.984668,-0.956778,-0.590479,-0.208051,0.3011725,0.1683852,-0.102605,-0.519195,-0.286282,0.6304123,0.1857531,-1.419980,-0.396941,-0.044244
Gene11,-0.477523,1.6238025,0.4780143,0.7444627,-0.316492,-1.004920,0.3592746,0.1218361,0.4438227,-0.043354,0.4069172,0.7627528,1.2982340,1.7373738,0.1482056,0.2132502,0.4359999,0.1817006,-0.256721,0.3746928,-2.318861,-0.881617,1.1611802,0.1897770,0.5957145,-1.627875,0.1471307,-1.357336,-0.448543,-0.338101,-0.326258,-1.857234,0.1482398,-0.187453,0.1741837,-1.819191,0.1510544,-0.314647,-0.347413,-0.262901,-1.543710,-0.427964,-1.339338,-1.814764,0.5005573,1.2604050,0.0622473,-0.193209,-0.842537,-0.208394,-0.688232,-0.483835,-0.401851,-2.438983,1.2143943,0.1011431,1.0550754,-0.175652,0.1568340,0.2697783,-0.639587,0.1316609,0.6371975,-0.241493,0.1395581,-0.095023,1.0101903,0.1048948,1.6257136,-0.383552,-0.158506,-0.254399,0.2456692,-0.477685,-0.415322,-0.743049,0.2714333,0.5197965,-0.012755,1.1269381,0.4253641,-0.110860,0.5925403,0.0170721,-1.106691,0.4855019,-0.445235,0.6300181,0.0814872,0.4652690,-1.331296,-0.340901,-0.358414,0.1079836,0.4357193,0.3521900,1.0432124,1.2437133,0.6201827,-0.137820,-0.261923,0.5406681,0.2345896,0.1870139,0.0482044,-0.369924,2.4541344,0.2280028,0.1053884
Gene12,0.7384250,0.1053846,-0.880949,-0.483322,-1.196072,0.1051727,1.3841069,-0.226266,-0.624529,-0.507097,0.8659519,0.8817759,-0.912350,0.8019659,0.2995279,0.6140489,0.7692147,0.0936406,-1.149578,-0.684086,-2.643758,-0.608864,-1.022875,0.7941011,-1.174041,-0.583757,1.4734738,-0.785247,-0.060400,0.2269647,-1.742105,-1.933228,0.5781609,-1.363519,-0.638924,-1.672330,-0.337393,0.5815903,0.4278793,0.2211777,0.1633951,-0.197652,-2.903082,-1.425305,0.7053810,0.7840222,-0.215544,1.2233553,-1.018432,-1.323936,-0.304883,-0.796337,0.8432946,-1.564868,-0.228534,-0.337951,-0.606886,1.3905209,0.4002835,0.0275750,-0.718472,-1.198739,0.2228667,2.0431422,0.8738100,0.5298603,2.0552151,0.5343374,-1.653259,-0.170370,-1.133343,0.1477646,0.0926131,1.3994584,0.1563284,0.3016488,0.5594955,-0.884925,-0.097844,1.6329820,1.3976225,-0.421433,-0.648321,2.2885676,-0.658963,0.2392524,0.9909376,0.0829733,0.3033466,0.0810576,-0.020247,1.0751124,-0.210977,0.5770840,-0.117310,0.5043448,-0.387749,-1.005590,1.1647261,-1.312557,-0.313608,0.0811006,2.8913546,1.4835662,-0.378277,1.0028131,0.7953488,-0.219093,1.6960813
Gene13,0.2033650,-1.743127,0.2496550,-1.557089,4.9638324,2.6563509,-0.228459,-1.667182,-1.302174,2.6485581,0.3037851,-1.790208,-1.171295,1.5528777,-1.181388,-0.418793,-0.096882,0.6871627,1.0499181,-1.308687,1.0937728,1.4365487,-0.918448,-1.270870,-0.764986,0.8113689,-0.773449,2.9406812,1.6064567,1.3924240,1.1613653,1.4977770,-0.063309,1.3209386,0.5854404,1.8198420,1.2895665,2.1767189,-0.132426,-0.063708,0.0365876,-0.134695,0.9963590,0.7910607,2.4984441,-1.264727,-0.657681,-1.050355,-0.857929,-0.265804,-0.281687,0.4148721,1.6907111,4.5831806,0.1743031,-1.103295,-0.731718,-3.908681,-0.419850,1.6202725,1.7891711,0.1851541,-0.364854,-0.199057,-0.249319,-0.936052,0.3295571,-1.132532,-0.247162,-0.641537,-0.543146,-0.459505,-1.932569,-2.510470,-0.068944,1.0173912,-2.839061,-0.564852,-0.147377,-0.047113,-0.119830,-0.863962,-2.142360,-2.041396,1.7735475,-0.270197,1.5526873,-1.658994,-1.717215,0.1894311,2.8887725,-0.426045,1.5141157,0.4857987,0.0652089,-0.197886,-1.919921,-1.689036,-1.529002,0.8879996,-0.626194,0.5889421,-0.970570,1.3137409,0.5510302,0.2829921,-2.579332,-2.270400,-0.634912
